Date,Location,Outcome,OpponentID,Point Percentage,Shooting Percentage,Shots Allowed / Game,Shots / Game,Faceoff Win Percentage,Goals Against / Game,Goals / Game,Save Percentage
10/6/2000,Home,1,8,67.7,11.4,24.6829,31.5854,49.4,2.378,3.598,0.904
10/13/2000,Away,0,9,67.7,11.4,24.6829,31.5854,49.4,2.378,3.598,0.904
10/14/2000,Home,1,24,67.7,11.4,24.6829,31.5854,49.4,2.378,3.598,0.904
10/17/2000,Away,0,11,67.7,11.4,24.6829,31.5854,49.4,2.378,3.598,0.904
10/19/2000,Away,0,15,67.7,11.4,24.6829,31.5854,49.4,2.378,3.598,0.904
10/21/2000,Home,1,14,67.7,11.4,24.6829,31.5854,49.4,2.378,3.598,0.904
10/25/2000,Away,1,13,67.7,11.4,24.6829,31.5854,49.4,2.378,3.598,0.904
10/27/2000,Away,0,12,67.7,11.4,24.6829,31.5854,49.4,2.378,3.598,0.904
10/28/2000,Away,1,5,67.7,11.4,24.6829,31.5854,49.4,2.378,3.598,0.904
10/30/2000,Home,1,13,67.7,11.4,24.6829,31.5854,49.4,2.378,3.598,0.904
11/1/2000,Home,1,4,67.7,11.4,24.6829,31.5854,49.4,2.378,3.598,0.904
11/2/2000,Away,0,10,67.7,11.4,24.6829,31.5854,49.4,2.378,3.598,0.904
11/4/2000,Home,0,26,67.7,11.4,24.6829,31.5854,49.4,2.378,3.598,0.904
11/8/2000,Home,0,18,67.7,11.4,24.6829,31.5854,49.4,2.378,3.598,0.904
11/10/2000,Home,0,5,67.7,11.4,24.6829,31.5854,49.4,2.378,3.598,0.904
11/11/2000,Home,0,7,67.7,11.4,24.6829,31.5854,49.4,2.378,3.598,0.904
11/14/2000,Home,0,28,67.7,11.4,24.6829,31.5854,49.4,2.378,3.598,0.904
11/16/2000,Away,1,6,67.7,11.4,24.6829,31.5854,49.4,2.378,3.598,0.904
11/18/2000,Home,1,12,67.7,11.4,24.6829,31.5854,49.4,2.378,3.598,0.904
11/22/2000,Away,1,24,67.7,11.4,24.6829,31.5854,49.4,2.378,3.598,0.904
11/23/2000,Away,1,26,67.7,11.4,24.6829,31.5854,49.4,2.378,3.598,0.904
11/25/2000,Away,1,28,67.7,11.4,24.6829,31.5854,49.4,2.378,3.598,0.904
11/29/2000,Home,1,3,67.7,11.4,24.6829,31.5854,49.4,2.378,3.598,0.904
12/1/2000,Home,1,2,67.7,11.4,24.6829,31.5854,49.4,2.378,3.598,0.904
12/3/2000,Away,0,2,67.7,11.4,24.6829,31.5854,49.4,2.378,3.598,0.904
12/5/2000,Home,1,21,67.7,11.4,24.6829,31.5854,49.4,2.378,3.598,0.904
12/7/2000,Away,0,7,67.7,11.4,24.6829,31.5854,49.4,2.378,3.598,0.904
